condition,img,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,Session,Participant,
img_right,common/recall_cross_IR.png,12,2,62,3,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_right,common/recall_cross_ER.png,12,3,63,1,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
imag_third,common/recall_cross_IT.png,12,4,64,4,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_right,common/recall_cross_IR.png,13,0,65,3,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_left,common/recall_cross_EL.png,13,1,66,0,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
imag_third,common/recall_cross_IT.png,13,2,67,4,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_right,common/recall_cross_ER.png,13,3,68,1,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_left,common/recall_cross_IL.png,13,4,69,2,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
imag_third,common/recall_cross_IT.png,14,0,70,4,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_left,common/recall_cross_IL.png,14,1,71,2,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_right,common/recall_cross_ER.png,14,2,72,1,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_left,common/recall_cross_EL.png,14,3,73,0,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_right,common/recall_cross_IR.png,14,4,74,3,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
imag_third,common/recall_cross_IT.png,15,0,75,4,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_right,common/recall_cross_IR.png,15,1,76,3,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_left,common/recall_cross_IL.png,15,2,77,2,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_left,common/recall_cross_EL.png,15,3,78,0,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_right,common/recall_cross_ER.png,15,4,79,1,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_left,common/recall_cross_EL.png,16,0,80,0,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_right,common/recall_cross_ER.png,16,1,81,1,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_right,common/recall_cross_IR.png,16,2,82,3,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
imag_third,common/recall_cross_IT.png,16,3,83,4,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_left,common/recall_cross_IL.png,16,4,84,2,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_right,common/recall_cross_IR.png,17,0,85,3,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
imag_third,common/recall_cross_IT.png,17,1,86,4,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_left,common/recall_cross_EL.png,17,2,87,0,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_right,common/recall_cross_ER.png,17,3,88,1,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_left,common/recall_cross_IL.png,17,4,89,2,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_right,common/recall_cross_ER.png,18,0,90,1,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_left,common/recall_cross_IL.png,18,1,91,2,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_left,common/recall_cross_EL.png,18,2,92,0,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
imag_third,common/recall_cross_IT.png,18,3,93,4,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_right,common/recall_cross_IR.png,18,4,94,3,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_left,common/recall_cross_IL.png,19,0,95,2,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_right,common/recall_cross_ER.png,19,1,96,1,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_right,common/recall_cross_IR.png,19,2,97,3,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
imag_third,common/recall_cross_IT.png,19,3,98,4,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_left,common/recall_cross_EL.png,19,4,99,0,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
