Latency,Type,Epoch,Position
110816.00447655116,ER,10,5
110805.00426130801,RS,10,6
110823.00788037565,IR,10,7
110805.00426130801,RS,10,8
110830.00729138154,EL,10,9
110833.00589815018,RS,11,0
110837.00670238743,EL,11,1
110840.00530915607,RS,11,2
110844.00611339332,ER,11,3
110840.00530915607,RS,11,4
110851.00552439921,IR,11,5
110840.00530915607,RS,11,6
110858.0049354051,IL,11,7
110840.00530915607,RS,11,8
110865.00434641099,IT,11,9
110868.00694599823,RS,12,0
110872.00775023548,IT,12,1
110875.00635700412,RS,12,2
110879.00716124137,EL,12,3
110875.00635700412,RS,12,4
110886.00657224726,ER,12,5
110875.00635700412,RS,12,6
110893.00598325316,IR,12,7
110875.00635700412,RS,12,8
110900.00539425905,IL,12,9
110903.00400102769,RS,13,0
110907.00480526494,EL,13,1
110910.00740485218,RS,13,2
110914.00421627083,IR,13,3
110910.00740485218,RS,13,4
110921.00762009532,IL,13,5
110910.00740485218,RS,13,6
110928.00703110121,IT,13,7
110910.00740485218,RS,13,8
110935.0064421071,ER,13,9
110938.00504887574,RS,14,0
110942.00585311299,IR,14,1
110945.00445988163,RS,14,2
110949.00526411888,EL,14,3
110945.00445988163,RS,14,4
110956.00467512477,IL,14,5
110945.00445988163,RS,14,6
110963.00408613066,IT,14,7
110945.00445988163,RS,14,8
110970.00748995515,ER,14,9
110973.0060967238,RS,15,0
110977.00690096105,ER,15,1
110980.00550772969,RS,15,2
110984.00631196694,IT,15,3
110980.00550772969,RS,15,4
110991.00572297283,EL,15,5
110980.00550772969,RS,15,6
110998.00513397872,IL,15,7
110980.00550772969,RS,15,8
111005.00454498461,IR,15,9
111008.00714457185,RS,16,0
111012.0079488091,IR,16,1
111015.00655557774,RS,16,2
111019.00735981499,EL,16,3
111015.00655557774,RS,16,4
111026.00677082088,IL,16,5
111015.00655557774,RS,16,6
111033.00618182677,IT,16,7
111015.00655557774,RS,16,8
111040.00559283266,ER,16,9
111043.0041996013,RS,17,0
111047.00500383855,IT,17,1
111050.0076034258,RS,17,2
111054.00441484444,ER,17,3
111050.0076034258,RS,17,4
111061.00781866894,EL,17,5
111050.0076034258,RS,17,6
111068.00722967483,IR,17,7
111050.0076034258,RS,17,8
111075.00664068072,IL,17,9
111078.00524744936,RS,18,0
111082.0060516866,IL,18,1
111085.00465845525,RS,18,2
111089.0054626925,IT,18,3
111085.00465845525,RS,18,4
111096.00487369839,EL,18,5
111085.00465845525,RS,18,6
111103.00428470428,IR,18,7
111085.00465845525,RS,18,8
111110.00768852877,ER,18,9
111113.00629529741,RS,19,0
111117.00709953466,IL,19,1
111120.0057063033,RS,19,2
111124.00651054055,EL,19,3
111120.0057063033,RS,19,4
111131.00592154644,ER,19,5
111120.0057063033,RS,19,6
111138.00533255233,IR,19,7
111120.0057063033,RS,19,8
111145.00474355822,IT,19,9
111148.00734314547,RS,20,0
111152.00415456411,EL,20,1
111155.00675415136,RS,20,2
111159.0075583886,IR,20,3
111155.00675415136,RS,20,4
111166.0069693945,IL,20,5
111155.00675415136,RS,20,6
111173.00638040039,IT,20,7
111155.00675415136,RS,20,8
111180.00579140628,ER,20,9
